"file_name","year","month","volume"
"1940-April-v34.txt","1940","April","v34"
"1940-Aug-v34.txt","1940","Aug","v34"
"1940-Dec-v34.txt","1940","Dec","v34"
"1940-Feb.txt","1940","Feb",NA
"1940-Jan.txt","1940","Jan",NA
"1940-July-v34.txt","1940","July","v34"
"1940-June-v34.txt","1940","June","v34"
"1940-March.txt","1940","March",NA
"1940-May-v34.txt","1940","May","v34"
"1940-Nov-v34.txt","1940","Nov","v34"
"1940-Oct-v34.txt","1940","Oct","v34"
"1940-Sept-v34.txt","1940","Sept","v34"
"1941-April-v35.txt","1941","April","v35"
"1941-Aug-v35.txt","1941","Aug","v35"
"1941-Dec-v35.txt","1941","Dec","v35"
"1941-Feb-v34.txt","1941","Feb","v34"
"1941-Jan-v34.txt","1941","Jan","v34"
"1941-July-v35.txt","1941","July","v35"
"1941-June-v35.txt","1941","June","v35"
"1941-March-v34.txt","1941","March","v34"
"1941-May-v35.txt","1941","May","v35"
"1941-Nov-v35.txt","1941","Nov","v35"
"1941-Oct-v35.txt","1941","Oct","v35"
"1941-Sept-v35.txt","1941","Sept","v35"
"1942-April.txt","1942","April",NA
"1942-Aug.txt","1942","Aug",NA
"1942-Dec.txt","1942","Dec",NA
"1942-Feb-v35.txt","1942","Feb","v35"
"1942-Jan-v35.txt","1942","Jan","v35"
"1942-July.txt","1942","July",NA
"1942-June.txt","1942","June",NA
"1942-March-v35.txt","1942","March","v35"
"1942-May.txt","1942","May",NA
"1942-Nov.txt","1942","Nov",NA
"1942-Oct.txt","1942","Oct",NA
"1942-Sept.txt","1942","Sept",NA
